#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Condo","$2800","2","2.00","PetOK","1165"
"Now","SANFRANCISCO","Apartment","$2800","1","1.00","PetOK","790"
"Now","SANFRANCISCO","Apartment","$2810","1","1.00","PetOK","574"
"Now","SANFRANCISCO","Apartment","$2810","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2815","1","1.00","PetOK","733"
"Now","SANFRANCISCO","Apartment","$2815","1","1.00","PetOK","733"
"Now","SANFRANCISCO","Apartment","$2825","1","1.00","PetOK","951"
"Now","SANFRANCISCO","Apartment","$2829","1","1.00","DogOK","625"
"Now","SANFRANCISCO","Apartment","$2836","3","3.00","CatOK","1375"
"Now","SANFRANCISCO","Apartment","$2836","3","3.00","DogOK","1375"
"Now","SANFRANCISCO","Apartment","$2840","2","2.00","PetOK","890"
"Now","SANFRANCISCO","Apartment","$2850","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2850","1","1.00","Call","651"
"Now","SANFRANCISCO","Apartment","$2850","2","2.00","NoPets","929"
"Now","SANFRANCISCO","Apartment","$2850","2","2.00","NoPets","1021"
"Now","SANFRANCISCO","Apartment","$2850","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$745","Studio","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$875","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$950","Studio","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$975","Studio","1.00","NoPets","230"
"Now","SANFRANCISCO","Apartment","$995","Studio","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$995","1","1.00","Call","570"
"Now","SANFRANCISCO","Apartment","$1095","Studio","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$1185","Studio","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$1189","Studio","1.00","PetOK","510"
"Now","SANFRANCISCO","Apartment","$1195","Studio","1.00","DogOK",""
"Now","ALAMOSQUARE","Apartment","$1200","Studio","1.00","Call","850"
"Now","SANFRANCISCO","Apartment","$1200","1","1.00","NoPets","650"
"Now","SANFRANCISCO","Apartment","$1250","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$1275","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$1295","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$1295","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$1295","Studio","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$1299","1","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$1324","Studio","1.00","WillConsider",""
"Now","SANFRANCISCO","Apartment","$1345","Studio","1.00","PetOK","290"
"Now","SANFRANCISCO","Apartment","$1350","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$1384","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$1394","1","1.00","Call","1015"
"Now","SANFRANCISCO","Apartment","$1395","Studio","1.00","NoPets","520"
"Now","SANFRANCISCO","Apartment","$1395","Studio","1.00","PetOK",""
"Now","SANFRANCISCO","Condo","$2850","3","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2850","2","2.00","NoPets","756"
"Now","SANFRANCISCO","Apartment","$2850","1","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2880","1","1.00","PetOK","730"
"Now","SANFRANCISCO","Apartment","$2890","2","2.00","DogOK","989"
"Now","SANFRANCISCO","Apartment","$2895","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2895","3","1.50","NoPets",""
"Now","SANFRANCISCO","Apartment","$2895","2","2.00","PetOK","990"
"Now","SANFRANCISCO","Apartment","$2895","3","1.50","DogOK","1280"
"Now","SANFRANCISCO","Apartment","$2898","2","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2899","2","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2900","2","1.00","PetOK","794"
"Now","SANFRANCISCO","Apartment","$2900","2","1.00","Call",""
"Now","SANFRANCISCO","Condo","$2900","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2900","1","1.50","DogOK",""
"Now","SANFRANCISCO","Apartment","$2900","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2900","4","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2900","4","2.50","DogOK","1480"
"Now","SANFRANCISCO","Apartment","$2900","2","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2923","1","1.00","PetOK","808"
"Now","SANFRANCISCO","Apartment","$2932","1","1.00","PetOK","858"
"Now","SANFRANCISCO","Apartment","$2945","1","1.00","DogOK","502"
"Now","SANFRANCISCO","Apartment","$2950","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2950","1","1.00","NoPets","575"
"Now","SANFRANCISCO","Apartment","$2950","1","1.00","Call","670"
"Now","SANFRANCISCO","Apartment","$2950","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2950","2","2.00","DogOK","794"
"Now","SANFRANCISCO","House","$2950","4","2.00","Call",""
"Now","SANFRANCISCO","Apartment","$2959","1","1.00","PetOK","625"
"Now","SANFRANCISCO","Apartment","$2960","1","1.00","PetOK","742"
"Now","SANFRANCISCO","Apartment","$2960","1","1.00","PetOK","742"
"Now","SANFRANCISCO","Apartment","$2960","1","1.00","PetOK","787"
"Now","SANFRANCISCO","Apartment","$2975","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2990","1","1.00","Call","693"
"Now","SANFRANCISCO","Apartment","$2994","2","2.00","Call",""
"Now","SANFRANCISCO","Apartment","$2994","2","2.00","PetOK","995"
"Now","SANFRANCISCO","Apartment","$2994","2","2.00","PetOK",""
